# Data from NEON Inc.
# These data are provided under the terms of the NEON data policy included in this data download.
# Data Product ID: NEON.D03.CS1.DP1.00002.001.001.002.001
# Data Product Name: 1 minute mean temperature tower level 2
# Site: Ordway-Swisher Biological Station Site, CORE (FL)
# Geographic coordinates (lat/long): 29.68927/-81.99343
# Domain: Domain 03
# Query Citation Code: 3BEB957B3F4C4167BDE831A4953658E9
# Date-Time of Query Submission: 2014-07-10 16:32 (UTC)
# Start Date-Time for Data: 2014-04-03 00:00 (UTC)
# End Date-Time for Data: 2014-04-04 00:00 (UTC)
# 
### Sensor Metadata Below
### Sensor information: Thermometrics Climate RTD 100  Omega  Probe and Met One 076B aspirated radiation shield
### Units: deg C
### Sampling Rate (Hz): 1
### Assembly repeatability (precision) in deg C: 0.0025
### Assembly refers to the sensor(s) and relevant components (e.g. DAS); here repeatability represents the maximum expected assembly noise given at 95% confidence.
### Boom Level: 2
### Height Above Ground Level (m): 1.93
### Lat/Lon: 29.68923565/-81.99340698
### Threshold For Range test (Hard): min:  -89.2 (deg C) max:  56.7 (deg C)
### Threshold for Range test (soft): min: -27.2 (deg C) max: 44.4 (deg C)
### Threshold For Step test: 0.5 (deg C)
#
Start Date,End Date,Data 1,Data 2,Units,Readout Version,Value Name,Measurement Readout Type Name
2014-04-03 00:00:00.0,2014-04-03 00:01:00.0,60,,none,Version 1.0,Number of points used in data product mean value,Level-1 FIU measurement stream readout type
2014-04-03 00:00:00.0,2014-04-03 00:01:00.0,0.0252657640222524043638330226713151205331,,degree Celsius,Version 1.0,Temperature Expanded Uncertainty (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:00:00.0,2014-04-03 00:01:00.0,22.83411351880574713391069963108748197555,,degree Celsius,Version 1.0,Temperature Mean (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:00:00.0,2014-04-03 00:01:00.0,0.0117118996818613534116604313339848886243,,degree Celsius,Version 1.0,Temperature Standard Error  (NEON.DOC.000652),Level-1 FIU measurement stream readout type
2014-04-03 00:01:00.0,2014-04-03 00:02:00.0,60,,none,Version 1.0,Number of points used in data product mean value,Level-1 FIU measurement stream readout type
2014-04-03 00:01:00.0,2014-04-03 00:02:00.0,0.0283704414341963556678294366975023876875,,degree Celsius,Version 1.0,Temperature Expanded Uncertainty (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:01:00.0,2014-04-03 00:02:00.0,0.013360789556046756901275252005234506214,,degree Celsius,Version 1.0,Temperature Standard Error  (NEON.DOC.000652),Level-1 FIU measurement stream readout type
2014-04-03 00:01:00.0,2014-04-03 00:02:00.0,22.8559203650258773166115133790299296379,,degree Celsius,Version 1.0,Temperature Mean (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:02:00.0,2014-04-03 00:03:00.0,22.8058346270576457470724562881514430046,,degree Celsius,Version 1.0,Temperature Mean (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:02:00.0,2014-04-03 00:03:00.0,0.0290441290868147412862487755091933649964,,degree Celsius,Version 1.0,Temperature Expanded Uncertainty (NEON.DOC.000646),Level-1 FIU measurement stream readout type
