# Data from NEON Inc.
# These data are provided under the terms of the NEON data policy included in this data download.
# Data Product ID: NEON.D10.RS1.DP1.00002.001.001.002.002
# Data Product Name: 30 minutes mean temperature tower level 2
# Site: Sterling Site, RELOCATABLE (CO)
# Geographic coordinates (lat/long): 40.4619/-103.0293
# Domain: Domain 10
# Query Citation Code: 3BEB957B3F4C4167BDE831A4953658E9
# Date-Time of Query Submission: 2014-07-10 16:32 (UTC)
# Start Date-Time for Data: 2014-04-03 00:00 (UTC)
# End Date-Time for Data: 2014-04-04 00:00 (UTC)
# 
### Sensor Metadata Below
### Sensor information: Thermometrics Climate RTD 100  Omega  Probe and Met One 076B aspirated radiation shield
### Units: deg C
### Sampling Rate (Hz): 1
### Assembly repeatability (precision) in deg C: 0.0025
### Assembly refers to the sensor(s) and relevant components (e.g. DAS); here repeatability represents the maximum expected assembly noise given at 95% confidence.
### Boom Level: 2
### Height Above Ground Level (m): 1.497
### Lat/Lon: 40.46187291/-103.0293535
### Threshold For Range test (Hard): min:  -89.2 (deg C) max:  56.7 (deg C)
### Threshold for Range test (soft): min: -54.4 (deg C) max: 46.1 (deg C)
### Threshold For Step test: 0.5 (deg C)
#
Start Date,End Date,Data 1,Data 2,Units,Readout Version,Value Name,Measurement Readout Type Name
2014-04-03 00:00:00.0,2014-04-03 00:30:00.0,1800,,none,Version 1.0,Number of points used in data product mean value,Temperature Mean measurement stream value type (NEON.DOC.000646)
2014-04-03 00:00:00.0,2014-04-03 00:30:00.0,0.004299450166408111048688134303574770456179,,degree Celsius,Version 1.0,Temperature Standard Error  (NEON.DOC.000652),Temperature Mean measurement stream value type (NEON.DOC.000646)
2014-04-03 00:00:00.0,2014-04-03 00:30:00.0,0.0125729314232393887124095144258717482443,,degree Celsius,Version 1.0,Temperature Expanded Uncertainty (NEON.DOC.000646),Temperature Mean measurement stream value type (NEON.DOC.000646)
2014-04-03 00:00:00.0,2014-04-03 00:30:00.0,7.20514630473554174017181139788590371608,,degree Celsius,Version 1.0,Temperature Mean (NEON.DOC.000646),Temperature Mean measurement stream value type (NEON.DOC.000646)
2014-04-03 00:30:00.0,2014-04-03 01:00:00.0,0.002843849646142998770920184981036982208024,,degree Celsius,Version 1.0,Temperature Standard Error  (NEON.DOC.000652),Temperature Mean measurement stream value type (NEON.DOC.000646)
2014-04-03 00:30:00.0,2014-04-03 01:00:00.0,0.0108080589296828313145004685225103457923,,degree Celsius,Version 1.0,Temperature Expanded Uncertainty (NEON.DOC.000646),Temperature Mean measurement stream value type (NEON.DOC.000646)
2014-04-03 00:30:00.0,2014-04-03 01:00:00.0,6.60038688816343910303885422763414680957,,degree Celsius,Version 1.0,Temperature Mean (NEON.DOC.000646),Temperature Mean measurement stream value type (NEON.DOC.000646)
2014-04-03 00:30:00.0,2014-04-03 01:00:00.0,1800,,none,Version 1.0,Number of points used in data product mean value,Temperature Mean measurement stream value type (NEON.DOC.000646)
2014-04-03 01:00:00.0,2014-04-03 01:30:00.0,1800,,none,Version 1.0,Number of points used in data product mean value,Temperature Mean measurement stream value type (NEON.DOC.000646)
2014-04-03 01:00:00.0,2014-04-03 01:30:00.0,6.14367837458857479759899433702230453491,,degree Celsius,Version 1.0,Temperature Mean (NEON.DOC.000646),Temperature Mean measurement stream value type (NEON.DOC.000646)
2014-04-03 01:00:00.0,2014-04-03 01:30:00.0,0.004314435729602526976844689698964430135674,,degree Celsius,Version 1.0,Temperature Standard Error  (NEON.DOC.000652),Temperature Mean measurement stream value type (NEON.DOC.000646)
