# Data from NEON Inc.
# These data are provided under the terms of the NEON data policy included in this data download.
# Data Product ID: NEON.D10.RS1.DP1.00002.001.003.002.002
# Data Product Name: 30 minutes maximum temperature tower level 2
# Site: Sterling Site, RELOCATABLE (CO)
# Geographic coordinates (lat/long): 40.4619/-103.0293
# Domain: Domain 10
# Query Citation Code: 3BEB957B3F4C4167BDE831A4953658E9
# Date-Time of Query Submission: 2014-07-10 16:32 (UTC)
# Start Date-Time for Data: 2014-04-03 00:00 (UTC)
# End Date-Time for Data: 2014-04-04 00:00 (UTC)
# 
### Sensor Metadata Below
### Sensor information: Thermometrics Climate RTD 100  Omega  Probe and Met One 076B aspirated radiation shield
### Units: deg C
### Sampling Rate (Hz): 1
### Assembly repeatability (precision) in deg C: 0.0025
### Assembly refers to the sensor(s) and relevant components (e.g. DAS); here repeatability represents the maximum expected assembly noise given at 95% confidence.
### Boom Level: 2
### Height Above Ground Level (m): 1.497
### Lat/Lon: 40.46187291/-103.0293535
### Threshold For Range test (Hard): min:  -89.2 (deg C) max:  56.7 (deg C)
### Threshold for Range test (soft): min: -54.4 (deg C) max: 46.1 (deg C)
### Threshold For Step test: 0.5 (deg C)
#
Start Date,End Date,Data 1,Data 2,Units,Readout Version,Value Name,Measurement Readout Type Name
2014-04-03 00:00:00.0,2014-04-03 00:30:00.0,7.65741492347114593997048359597101807594,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Temperature Max measurement stream value type (NEON.DOC.000646)
2014-04-03 00:30:00.0,2014-04-03 01:00:00.0,6.83388969112719379950249276589602231979,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Temperature Max measurement stream value type (NEON.DOC.000646)
2014-04-03 01:00:00.0,2014-04-03 01:30:00.0,6.40746358066930099539604270830750465393,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Temperature Max measurement stream value type (NEON.DOC.000646)
2014-04-03 01:30:00.0,2014-04-03 02:00:00.0,5.74424971652847915493111941032111644744,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Temperature Max measurement stream value type (NEON.DOC.000646)
2014-04-03 02:00:00.0,2014-04-03 02:30:00.0,4.26664612311391522325720870867371559143,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Temperature Max measurement stream value type (NEON.DOC.000646)
2014-04-03 02:30:00.0,2014-04-03 03:00:00.0,3.25158924896600787235456664348021149635,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Temperature Max measurement stream value type (NEON.DOC.000646)
2014-04-03 03:00:00.0,2014-04-03 03:30:00.0,2.54114445090977270069743099156767129898,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Temperature Max measurement stream value type (NEON.DOC.000646)
2014-04-03 03:30:00.0,2014-04-03 04:00:00.0,2.0553795975032986831365633406676352024,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Temperature Max measurement stream value type (NEON.DOC.000646)
2014-04-03 04:00:00.0,2014-04-03 04:30:00.0,1.98288808638576163900779647519811987876,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Temperature Max measurement stream value type (NEON.DOC.000646)
2014-04-03 04:30:00.0,2014-04-03 05:00:00.0,1.14395048890607675673436460783705115318,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Temperature Max measurement stream value type (NEON.DOC.000646)
2014-04-03 05:00:00.0,2014-04-03 05:30:00.0,1.14582067004388221675981185398995876312,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Temperature Max measurement stream value type (NEON.DOC.000646)
2014-04-03 05:30:00.0,2014-04-03 06:00:00.0,1.23431825515184812047664308920502662658,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Temperature Max measurement stream value type (NEON.DOC.000646)
2014-04-03 06:00:00.0,2014-04-03 06:30:00.0,1.13270387578763020997030253056436777114,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Temperature Max measurement stream value type (NEON.DOC.000646)
