# Data from NEON Inc.
# These data are provided under the terms of the NEON data policy included in this data download.
# Data Product ID: NEON.D03.CS1.DP1.00003.001.003.006.001
# Data Product Name: 1 minute maximum temperature tower level 6
# Site: Ordway-Swisher Biological Station Site, CORE (FL)
# Geographic coordinates (lat/long): 29.68927/-81.99343
# Domain: Domain 03
# Query Citation Code: 44AFD15813B64FDE80CE422935E746A5
# Date-Time of Query Submission: 2014-07-10 16:33 (UTC)
# Start Date-Time for Data: 2014-04-03 00:00 (UTC)
# End Date-Time for Data: 2014-04-04 00:00 (UTC)
# 
### Sensor Metadata Below
### Sensor information: Thermometrics Climate RTD 100  Omega  Probe and Met One 076B aspirated radiation shield
### Units: deg C
### Sampling Rate (Hz): 1
### Assembly repeatability (precision) in deg C: 0.0025
### Assembly refers to the sensor(s) and relevant components (e.g. DAS); here repeatability represents the maximum expected assembly noise given at 95% confidence.
### Boom Level: 6 (tower-top)
### Height Above Ground Level (m): 34.96
### Lat/Lon: 29.6892369/-81.9934109
### Threshold For Range test (Hard): min:  -89.2 (deg C) max:  56.7 (deg C)
### Threshold for Range test (soft): min: -27.2 (deg C) max: 44.4 (deg C)
### Threshold For Step test: 0.5 (deg C)
#
Start Date,End Date,Data 1,Data 2,Units,Readout Version,Value Name,Measurement Readout Type Name
2014-04-03 00:00:00.0,2014-04-03 00:01:00.0,24.43184298380367636127630248665809631347,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:01:00.0,2014-04-03 00:02:00.0,24.3993862267891046258228016085922718048,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:02:00.0,2014-04-03 00:03:00.0,24.3109747690529900410183472558856010437,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:03:00.0,2014-04-03 00:04:00.0,24.13386919044383205346093745902180671691,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:04:00.0,2014-04-03 00:05:00.0,24.07250013412313549565624271053820848464,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:05:00.0,2014-04-03 00:06:00.0,24.05078607021441783331283659208565950393,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:06:00.0,2014-04-03 00:07:00.0,23.91474187864225697808251425158232450485,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:07:00.0,2014-04-03 00:08:00.0,23.92094745359105445459135808050632476806,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:08:00.0,2014-04-03 00:09:00.0,23.95488329037410224486848164815455675125,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:09:00.0,2014-04-03 00:10:00.0,23.9309316945500825113413156941533088684,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:10:00.0,2014-04-03 00:11:00.0,23.82637011059830456360941752791404724121,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:11:00.0,2014-04-03 00:12:00.0,23.7710873236939583819093968486413359642,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:12:00.0,2014-04-03 00:13:00.0,23.79760596109997550229309126734733581542,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:13:00.0,2014-04-03 00:14:00.0,23.90058613668800191476293548475950956344,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:14:00.0,2014-04-03 00:15:00.0,23.95377085506757453003956470638513565063,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:15:00.0,2014-04-03 00:16:00.0,23.83888334025442645724979229271411895751,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:16:00.0,2014-04-03 00:17:00.0,23.7456733119123164499342237832024693489,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:17:00.0,2014-04-03 00:18:00.0,23.62974659396340371131373103708028793334,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:18:00.0,2014-04-03 00:19:00.0,23.65444022782052613251835282426327466964,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:19:00.0,2014-04-03 00:20:00.0,23.55896072236524219079001341015100479125,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:20:00.0,2014-04-03 00:21:00.0,23.58073302631144585461697715800255537033,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:21:00.0,2014-04-03 00:22:00.0,23.60804784672830791691922058816999197006,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:22:00.0,2014-04-03 00:23:00.0,23.64111278838161211979240761138498783111,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:23:00.0,2014-04-03 00:24:00.0,23.62909267723135542382806306704878807067,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:24:00.0,2014-04-03 00:25:00.0,23.66202492137280444239877397194504737854,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:25:00.0,2014-04-03 00:26:00.0,23.5870666110667883685891865752637386322,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:26:00.0,2014-04-03 00:27:00.0,23.50210861425093256116269913036376237869,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:27:00.0,2014-04-03 00:28:00.0,23.61003459793520420362256118096411228179,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:28:00.0,2014-04-03 00:29:00.0,23.5355296192552678746778838103637099266,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:29:00.0,2014-04-03 00:30:00.0,23.50362607492005295739545545075088739395,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-03 00:30:00.0,2014-04-03 00:31:00.0,23.46534013664047435554493858944624662399,,degree Celsius,Version 1.0,Temperature Max (NEON.DOC.000646),Level-1 FIU measurement stream readout type
