# Data from NEON Inc.
# These data are provided under the terms of the NEON data policy included in this data download.
# Data Product ID: NEON.D10.RS1.DP1.00002.001.002.003.001
# Data Product Name: 1 minute minimum temperature tower level 3
# Site: Sterling Site, RELOCATABLE (CO)
# Geographic coordinates (lat/long): 40.4619/-103.0293
# Domain: Domain 10
# Query Citation Code: 8F1ADE0018B74FAF9F43D4B53FB5D477
# Date-Time of Query Submission: 2014-07-09 19:52 (UTC)
# Start Date-Time for Data: 2014-04-01 00:00 (UTC)
# End Date-Time for Data: 2014-04-02 00:00 (UTC)
# 
### Sensor Metadata Below
### Sensor information: Thermometrics Climate RTD 100  Omega  Probe and Met One 076B aspirated radiation shield
### Units: deg C
### Sampling Rate (Hz): 1
### Assembly repeatability (precision) in deg C: 0.0025
### Assembly refers to the sensor(s) and relevant components (e.g. DAS); here repeatability represents the maximum expected assembly noise given at 95% confidence.
### Boom Level: 3
### Height Above Ground Level (m): 4.606
### Lat/Lon: 40.46187293/-103.0293535
### Threshold For Range test (Hard): min:  -89.2 (deg C) max:  56.7 (deg C)
### Threshold for Range test (soft): min: -54.4 (deg C) max: 46.1 (deg C)
### Threshold For Step test: 0.5 (deg C)
#
Start Date,End Date,Data 1,Data 2,Units,Readout Version,Value Name,Measurement Readout Type Name
2014-04-01 00:00:00.0,2014-04-01 00:01:00.0,6.08818634348481424467536271549761295318,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-01 00:01:00.0,2014-04-01 00:02:00.0,6.07990805493312613805301225511357188224,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-01 00:02:00.0,2014-04-01 00:03:00.0,6.07708394278341934580112138064578175544,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-01 00:03:00.0,2014-04-01 00:04:00.0,6.05329612932001737135578878223896026611,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-01 00:04:00.0,2014-04-01 00:05:00.0,5.96426955227988564445240626810118556022,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-01 00:05:00.0,2014-04-01 00:06:00.0,5.91882265704769494618631142657250165939,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-01 00:06:00.0,2014-04-01 00:07:00.0,5.90463898380254903486274997703731060028,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-01 00:07:00.0,2014-04-01 00:08:00.0,5.84086300448823259046093880897387862205,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-01 00:08:00.0,2014-04-01 00:09:00.0,5.81499346486928025967699795728549361228,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-01 00:09:00.0,2014-04-01 00:10:00.0,5.85050413282210080012646358227357268333,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
