siteid,sitename,plotid,easting,northing,taxonid,scientificname,indvidualid,pointid,individualdistance,individualazimuth,dbh,dbhheight,basalcanopydiam,basalcanopydiam_90deg,maxcanopydiam,canopydiam_90deg,stemheight,stemremarks,stemstatus,canopyform,livingcanopy,inplotcanopy,materialsampleid,dbhqf,stemmapqf
SOAP,Soaproot Saddle,SOAP43,297065.0,4100725.5,ABCO,Abies concolor,622,center,5.4,67.8,67.6,130.0,8.2,7.9,0.0,0.0,34.5,,,,100,100,,0,0
SOAP,Soaproot Saddle,SOAP43,297069.7,4100722.5,ABCO,Abies concolor,632,NE,5.4,188.7,16.1,130.0,0.0,0.0,3.3,3.2,13.0,,,,100,100,,0,1
SOAP,Soaproot Saddle,SOAP43,297056.1,4100722.2,ABCO,Abies concolor,567,center,4.1,250.8,5.9,130.0,0.0,0.0,2.9,2.8,3.8,,,,100,100,,0,0
SOAP,Soaproot Saddle,SOAP43,297067.2,4100719.0,ABCO,Abies concolor,606,center,8.5,122.4,0.9,10.0,0.0,0.0,0.4,0.3,0.6,,,,100,100,,0,0
SOAP,Soaproot Saddle,SOAP43,297057.4,4100728.8,ABCO,Abies concolor,639,center,5.7,332.6,4.0,130.0,0.0,0.0,2.0,1.5,3.4,,,,100,100,,0,0
SOAP,Soaproot Saddle,SOAP43,297056.4,4100721.5,ABCO,Abies concolor,566,center,4.1,240.3,5.1,130.0,0.0,0.0,2.4,1.9,3.0,,,,100,100,,0,0
SOAP,Soaproot Saddle,SOAP331,297055.8,4100607.0,ABCO,Abies concolor,527,center,8.3,5.7,1.1,130.0,0.0,0.0,1.3,1.4,1.4,,,,100,100,,0,0
SOAP,Soaproot Saddle,SOAP43,297057.1,4100730.0,ABCO,Abies concolor,638,center,6.9,335.5,3.1,130.0,0.0,0.0,2.0,1.9,3.1,,,,100,100,,0,0
SOAP,Soaproot Saddle,SOAP331,297061.1,4100600.2,ABCO,Abies concolor,516,center,6.4,74.5,1.0,10.0,0.0,0.0,0.5,0.5,0.5,,,,100,100,,0,0
SOAP,Soaproot Saddle,SOAP331,297051.7,4100603.5,ABCO,Abies concolor,555,center,6.0,326.8,8.9,130.0,0.0,0.0,3.0,2.9,5.0,,,,100,100,,0,0
SOAP,Soaproot Saddle,SOAP331,297058.9,4100595.0,ABCO,Abies concolor,484,center,5.4,132.6,2.5,10.0,0.0,0.0,1.1,1.2,1.2,,,,100,100,,0,0
SOAP,Soaproot Saddle,SOAP331,297049.9,4100605.5,AMUT,Amelanchier utahensis,551,center,8.6,323.9,,130.0,60.0,40.0,1.4,1.7,2.0,21 stems,,Hemisphere,100,100,,0,0
SOAP,Soaproot Saddle,SOAP331,297044.0,4100604.0,AMUT,Amelanchier utahensis,559,NW,2.8,164.8,,130.0,1.3,0.9,5.4,3.8,3.2,,bush/ sml tree smushed by fallen tree,Hemisphere,100,100,,0,1
SOAP,Soaproot Saddle,SOAP139,297058.0,4100095.5,ARVI4,Arctostaphylos viscida,352,center,8.0,70.1,,130.0,27.0,7.0,1.4,0.8,1.4,3 stems,dead w branches,,0,100,,0,1
SOAP,Soaproot Saddle,SOAP1343,299603.9,4100964.5,ARVI4,Arctostaphylos viscida,784,center,9.9,139.0,,130.0,40.0,28.0,2.0,1.3,1.4,4 stems,dead w branches,Hemisphere,0,100,,0,0
SOAP,Soaproot Saddle,SOAP143,299852.8,4100426.0,ARVI4,Arctostaphylos viscida,1208,center,11.8,50.3,,130.0,14.0,12.0,1.1,1.0,2.0,6 stems,,Cone,100,100,,0,1
SOAP,Soaproot Saddle,SOAP63,299813.7,4101028.0,ARVI4,Arctostaphylos viscida,891,center,4.9,356.2,,130.0,22.0,9.0,1.3,1.0,1.3,2 stems,long dead,,0,100,,0,0
SOAP,Soaproot Saddle,SOAP1563,297710.6,4101224.0,ARVI4,Arctostaphylos viscida,38,center,8.8,84.1,0.0,0.0,33.0,22.0,2.0,2.0,1.2,sphere 35dead,,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP1695,299178.0,4100962.0,ARVI4,Arctostaphylos viscida,82,center,2.7,205.2,0.0,0.0,11.0,8.0,2.2,3.0,2.0,hemi 10 live,,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP255,300147.4,4101377.8,ARVI4,Arctostaphylos viscida,1264,center,3.8,98.8,,130.0,32.0,21.0,2.4,2.2,2.4,4 stems,long dead,Hemisphere,,100,,0,0
