tablename,fieldname,datatype,description,units
vst_2013_D17,siteID,varchar(10),4-character site identification code,NA
vst_2013_D17,siteName,varchar(100),Full name of site at which data were collected,NA
vst_2013_D17,plotID,varchar(10),Unique plot identification number,NA
vst_2013_D17,easting,float(8),Stem easting position; UTM Zone11N WGS1984,meters
vst_2013_D17,northing,float(8),Stem northing position; UTM Zone11N WGS1984,meters
vst_2013_D17,taxonID,varchar(10),"Taxon-specific code; linked to scientificName via a look-up table; values are consistent with current USDA plant ""symbol"" values",NA
vst_2013_D17,scientificName,varchar(100),Latin genus and species names associated with measured individuals; consistent with current USDA plants nomenclature,NA
vst_2013_D17,indvidualID,integer,Auto-assigned unique stem ID,NA
vst_2013_D17,pointID,varchar(100),Plot position from which stem_distance and stem_angle were recorded,NA
vst_2013_D17,individualDistance,float(8),Distance from trupulse_position to stem,meters
vst_2013_D17,individualAzimuth,float(8),Azimuth of stem clockwise from True North; measured from trupulse_position,degrees
vst_2013_D17,dbh,float(8),Stem diameter at breast height,centimeters
vst_2013_D17,dbhHeight,float(8),Height above ground at which diameter at breast height measurement was taken,centimeters
vst_2013_D17,basalCanopyDiam,float(8),Maximum base of canopy diameter for shrub growth forms,centimeters
vst_2013_D17,basalCanopyDiam_90deg,float(8),Base of canopy diameter measured at 90? to maximum base canopy diameter,centimeters
vst_2013_D17,maxCanopyDiam,float(8),Maximum canopy diameter,meters
vst_2013_D17,canopyDiam_90deg,float(8),Canopy diameter measured at 90? to maximum canopy diameter,meters
vst_2013_D17,stemHeight,float(8),Distance from ground to highest stem/canopy point,meters
vst_2013_D17,stemRemarks,varchar(200),Free-form remarks about measured stem,NA
vst_2013_D17,stemStatus,varchar(100),Remarks specific to stem health: healthy; snag; damaged; etc.,NA
vst_2013_D17,canopyForm,varchar(50),The general geometric shape of the shrub canopy; inverted cone; half-sphere; cylinder; etc.,NA
vst_2013_D17,livingCanopy,integer,The percent of the canopy estimated to be alive,percent
vst_2013_D17,inPlotCanopy,integer,The percent of the canopy estimated to fall within the established plot boundaries,percent
vst_2013_D17,materialSampleID,varchar(25),Unique stem ID used to track leaf samples for chemistry analyses,NA
vst_2013_D17,dbhQF,integer,flagged (1) if there is a nonzero value for DBH but the height at which DBH was measured (DBH_H) was entered as 0,NA
vst_2013_D17,stemMapQF,integer,flagged (1) if the coordinates (easting and northing) of the stem fall outside of the plot,NA
vst_2012_D01,siteID,varchar(10),4-character site identification code,NA
vst_2012_D01,siteName,varchar(100),Full name of site at which data were collected,NA
vst_2012_D01,plotID,varchar(10),Unique plot identification number,NA
vst_2012_D01,subplotID,integer,Unique 10m x 10m subplot number within plot; numbered counter-clockwise from SW plot corner,NA
vst_2012_D01,easting,float(8),Stem easting position; UTM Zone18N WGS1984,meters
vst_2012_D01,northing,float(8),Stem northing position; UTM Zone18N WGS1984,meters
vst_2012_D01,taxonID,varchar(10),"Taxon-specific code; linked to scientificName via a look-up table; values are consistent with current USDA plant ""symbol"" values",NA
vst_2012_D01,scientificName,varchar(100),Latin genus and species names associated with measured individuals; consistent with current USDA plants nomenclature,NA
vst_2012_D01,idQ,varchar(50),When species ID of stem was not certain; 'c.f. species' was used to indicate that the stem was possibly the given species,NA
vst_2012_D01,individualID,integer,Auto-assigned unique stem ID,NA
vst_2012_D01,pointID,varchar(100),Position within plot from which individualDistance and individualAzimuth were measured,NA
vst_2012_D01,individualDistance,float(8),Distance from pointID to stem,meters
vst_2012_D01,individualAzimuth,float(8),Azimuth of stem clockwise from True North; measured from pointID,degrees
vst_2012_D01,dbh,float(8),Stem diameter at breast height,centimeters
vst_2012_D01,ddh,float(8),Diameter at decimeter height aboveground,centimeters
vst_2012_D01,firstBranchHeight,float(8),Distance from ground to first live branch,meters
vst_2012_D01,canopyDiam,float(8),Canopy diameter along line perpendicular to individualAzimuth,meters
vst_2012_D01,canopyDiam_90deg,float(8),Canopy diameter along North/South line; observer @ 90deg azimuth to stem,meters
vst_2012_D01,canopyDiam_150deg,float(8),Canopy diameter along 60deg line CW from TN; observer @ 150deg azimuth to stem,meters
vst_2012_D01,canopyDiam_210deg,float(8),Canopy diameter along 120deg line CW from TN; observer @ 210deg azimuth to stem,meters
vst_2012_D01,verticalPosition,varchar(50),Category indicating whether > 20% of crown is visible to remote-sensing aircraft,NA
vst_2012_D01,stemHeight,float(8),Distance from ground to highest stem/canopy point,meters
vst_2012_D01,stemRemarks,varchar(200),Free-form remarks about measured stem,NA
vst_2012_D01,stemStatus,varchar(100),Remarks specific to stem health: healthy; snag; damaged; etc.,NA
vst_2012_D01,statusRemarks,varchar(100),Free-form remarks providing more detail about stemStatus,NA
vst_2012_D01,materialSampleID,varchar(25),Unique stem ID used to track leaf samples for chemistry analyses,NA
vst_2012_D01,stemHeightQF,integer,flagged (1) if stemHeight is greater than the reference value (the max height at maturity of the species; as obtained from USDA  plants website),NA
vst_2012_D01,dbhQF,integer,flagged (1) if there is a nonzero value for DBH but the height at which DBH was measured (DBH_H) was entered as 0,NA
vst_2012_D01,stemMapQF,integer,flagged (1) if the coordinates (easting and northing) of the stem fall outside of the plot,NA
